run_id,method,mode,status,git_sha,final_val_loss,paper_loss,loss_delta,train_time_s,paper_time_s,started_at,finished_at
2026-06-29T10-52-18Z-muon1-full-b055ce8e,muon1,full,failed,b055ce8e81cec7d3b426e15ad59370fe18ec64f6,,3.2793,,,7314.1,2026-06-29T10:52:18Z,2026-06-29T11:09:17Z
2026-06-29T14-59-07Z-muon1-full-0c5a7ea0,muon1,full,completed,0c5a7ea0a5571ebb73666d0bbd8faeb5968bcdd3,3.2813,3.2793,0.0019999999999997797,15753.428,7314.1,2026-06-29T14:59:07Z,2026-06-29T16:10:48Z
2026-06-29T16-29-05Z-newton_muon1-smoke-9c87b12e,newton_muon1,smoke,completed,9c87b12eee49dc98c7b7f3141299f43093b4b5c0,10.9781,3.2611,7.717,14.463,7443.3,2026-06-29T16:29:05Z,2026-06-29T16:29:30Z
2026-06-29T23-07-57Z-newton_muon1-full-9c87b12e,newton_muon1,full,completed,9c87b12eee49dc98c7b7f3141299f43093b4b5c0,3.2806,3.2611,0.019500000000000295,15932.705,7443.3,2026-06-29T23:07:57Z,2026-06-30T00:00:06Z
2026-06-30T03-49-39Z-newton_muon1-full-resume-fix2-46d9db9,newton_muon1,full,failed,46d9db9a9ec51979c6c771655fde44ef63834943,,3.2611,,,7443.3,2026-06-30T03:49:40Z,2026-06-30T03:50:03Z
2026-06-30T03-51-05Z-newton_muon1-full-resume-fix3-46d9db9,newton_muon1,full,completed,46d9db9a9ec51979c6c771655fde44ef63834943,3.2785,3.2611,0.017400000000000304,15875.037,7443.3,2026-06-30T03:51:05Z,2026-06-30T05:45:23Z
2026-07-01T03-02-06Z-newton_muon1-full-resume-final-7d5202c,newton_muon1,full,completed,7d5202ca79359c2bb3796aad99149fb064dc6fe9,3.2785,3.2611,0.017400000000000304,15830.292,7443.3,2026-07-01T02:59:11Z,2026-07-01T03:51:22Z
2026-07-01T07-06-31Z-newton-telemetry-gate-7438521,newton_muon1,full_128_telemetry,completed,7438521412eb495a6d9b3b1a0149843c84435b94,5.4304,3.2611,2.1693,246.89,7443.3,2026-07-01T07:06:31Z,2026-07-01T07:14:40Z
2026-07-01T07-16-11Z-trust-newton-muon1-600-7438521,trust_newton_muon1,full_600,completed,7438521412eb495a6d9b3b1a0149843c84435b94,3.9154,3.2611,0.6543000000000001,1458.25,7443.3,2026-07-01T07:16:11Z,2026-07-01T07:43:50Z
2026-07-01T08-50-01Z-muon_anchor-128-04a83d36,muon_anchor,full_128,completed,04a83d36273625960d702d490f6f929b602ad6d9,5.2253,3.2793,1.946,NA,7314.1,2026-07-01T08:50:01Z,NA
2026-07-01T08-58-33Z-newton_base-128-04a83d36,newton_base,full_128,completed,04a83d36273625960d702d490f6f929b602ad6d9,5.4443,3.2611,2.1832,NA,7443.3,2026-07-01T08:58:33Z,NA
2026-07-01T09-05-16Z-newton_trust-128-04a83d36,newton_trust,full_128,completed,04a83d36273625960d702d490f6f929b602ad6d9,5.2058,3.2611,1.9447,NA,7443.3,2026-07-01T09:05:16Z,NA
2026-07-01T09-12-02Z-newton_scale-128-04a83d36,newton_scale,full_128,completed,04a83d36273625960d702d490f6f929b602ad6d9,5.2676,3.2611,2.0065,NA,7443.3,2026-07-01T09:12:02Z,NA
2026-07-01T09-18-50Z-newton_lagged-128-04a83d36,newton_lagged,full_128,completed,04a83d36273625960d702d490f6f929b602ad6d9,5.4418,3.2611,2.1807,NA,7443.3,2026-07-01T09:18:50Z,NA
2026-07-01T09-25-48Z-newton_lite_diag-128-04a83d36,newton_lite_diag,full_128,completed,04a83d36273625960d702d490f6f929b602ad6d9,5.1874,3.2611,1.9263,NA,7443.3,2026-07-01T09:25:48Z,NA
2026-07-01T09-33-57Z-newton_lite_scale-128-04a83d36,newton_lite_scale,full_128,completed,04a83d36273625960d702d490f6f929b602ad6d9,5.2051,3.2611,1.944,248.237,7443.3,2026-07-01T09:33:57Z,2026-07-01T09:41:01Z
2026-07-01T09-43-31Z-newton_lite_diag-300-05138f72,newton_lite_diag,full_300,completed,05138f72bb4e52d5ffa13bfe60c24d6be40b3148,4.3811,3.2611,1.12,690.021,7443.3,2026-07-01T09:43:31Z,2026-07-01T09:57:53Z
2026-07-01T10-01-42Z-newton_lite_adaptive-300-b03a6791,newton_lite_adaptive,full_300,completed,b03a67917ce6b78b888f00095fb27f4e020b6844,4.3658,3.2611,1.1047000000000002,687.352,7443.3,2026-07-01T10:01:42Z,2026-07-01T10:15:48Z
2026-07-01T10-15-48Z-newton_lite_trust-300-b03a6791,newton_lite_trust,full_300,completed,b03a67917ce6b78b888f00095fb27f4e020b6844,4.3677,3.2611,1.1066000000000003,686.069,7443.3,2026-07-01T10:15:48Z,2026-07-01T10:29:53Z
2026-07-01T10-29-53Z-newton_lite_qkv_fc-300-b03a6791,newton_lite_qkv_fc,full_300,completed,b03a67917ce6b78b888f00095fb27f4e020b6844,4.4118,3.2611,1.1507000000000005,682.269,7443.3,2026-07-01T10:29:53Z,2026-07-01T10:43:53Z
2026-07-01T10-43-53Z-newton_lowrank16-300-b03a6791,newton_lowrank16,full_300,completed,b03a67917ce6b78b888f00095fb27f4e020b6844,4.4062,3.2611,1.1451000000000002,691.132,7443.3,2026-07-01T10:43:54Z,2026-07-01T10:58:05Z
2026-07-01T11-13-43Z-newton_sketch64-300-b03a6791-resume,newton_sketch64,full_300,completed,b03a67917ce6b78b888f00095fb27f4e020b6844,4.4392,3.2611,1.1780999999999997,690.746,7443.3,2026-07-01T11:13:43Z,2026-07-01T11:29:07Z
2026-07-01T11-34-40Z-newton_lite_adaptive-900-b03a6791,newton_lite_adaptive,full_900,completed,b03a67917ce6b78b888f00095fb27f4e020b6844,3.7817,3.2611,0.5206,2242.729,7443.3,2026-07-01T11:34:40Z,2026-07-01T12:15:30Z
2026-07-02T02-12-58Z-newton_full_trust-900-b03a6791,newton_full_trust,full_900,completed,b03a67917ce6b78b888f00095fb27f4e020b6844,3.7777,3.2611,0.5166,2234.855,7443.3,2026-07-02T02:12:58Z,2026-07-02T02:53:38Z
2026-07-02T02-58-30Z-lite256_full_trust-300-3fb689d,lite256_full_trust,full_300,completed,3fb689df25faec35cce414fdb494150a362d4caa,4.3667,3.2611,1.1056,689.799,7443.3,2026-07-02T02:59:24Z,2026-07-02T03:13:47Z
2026-07-02T03-14-30Z-lite256_full_trust-900-3fb689d,lite256_full_trust,full_900,completed,3fb689df25faec35cce414fdb494150a362d4caa,3.7762,3.2611,0.5151,2233.653,7443.3,2026-07-02T03:14:52Z,2026-07-02T03:55:25Z
2026-07-02T03-56-30Z-lite288_full_trust-300-3fb689d,lite288_full_trust,full_300,completed,3fb689df25faec35cce414fdb494150a362d4caa,4.3701,3.2611,1.109,686.831,7443.3,2026-07-02T03:57:02Z,2026-07-02T04:11:15Z
2026-07-02T04-12-30Z-lite256_trust_adaptive-300-3fb689d,lite256_trust_adaptive,full_300,completed,3fb689df25faec35cce414fdb494150a362d4caa,4.3783,3.2611,1.1172,687.962,7443.3,2026-07-02T04:12:27Z,2026-07-02T04:26:39Z
2026-07-02T04-27-30Z-lite256_full_trust-1200-3fb689d,lite256_full_trust,full_1200,completed,3fb689df25faec35cce414fdb494150a362d4caa,3.6895,3.2611,0.4284,3035.042,7443.3,2026-07-02T04:27:30Z,2026-07-02T05:18:05Z
2026-07-02T06-15-00Z-newton_full_trust-1200-control-rerun-a100-3fb689d,newton_full_trust,full_1200_control_a100,completed,3fb689df25faec35cce414fdb494150a362d4caa,3.6919,3.2611,0.4308,2975.242,7443.3,2026-07-02T06:14:46Z,2026-07-02T07:08:47Z
2026-07-02T07-12-00Z-lite256_full_trust-1200-a100-mirror-3fb689d,lite256_full_trust,full_1200_a100_mirror,completed,3fb689df25faec35cce414fdb494150a362d4caa,3.6907,3.2611,0.4296,2974.696,7443.3,2026-07-02T07:13:02Z,2026-07-02T08:06:06Z
2026-07-02T08-10-00Z-lite256_full_trust-2100-a100-tail-gate-3fb689d,lite256_full_trust,full_2100_a100_gate_stopped,gate_stopped,3fb689df25faec35cce414fdb494150a362d4caa,3.6918,3.2611,0.4307,2975.327,7443.3,2026-07-02T08:11:07Z,2026-07-02T09:07:13Z
2026-07-02T09-08-00Z-trust_warmup256-300-a100-3fb689d,trust_warmup256,full_300,completed,3fb689df25faec35cce414fdb494150a362d4caa,4.3663,3.2611,1.1052,682.516,7443.3,2026-07-02T09:08:13Z,2026-07-02T09:20:00Z
